RUN	petApp.Journey	journey	1593606371309	 	3.3.1
USER	Add a new pet to the store	22	START	1593606383869	1593606383869
REQUEST	21		Add a new pet to the storehttps://petstore.swagger.io	1593606383367	1593606384223	OK	 
USER	Add a new pet to the store	23	START	1593606384368	1593606384368
REQUEST	21		Verify pet to the store as per statushttps://petstore.swagger.io	1593606384225	1593606384422	OK	 
USER	Add a new pet to the store	21	END	1593606383364	1593606384425
REQUEST	22		Add a new pet to the storehttps://petstore.swagger.io	1593606383871	1593606384686	OK	 
USER	Add a new pet to the store	24	START	1593606384870	1593606384870
REQUEST	22		Verify pet to the store as per statushttps://petstore.swagger.io	1593606384687	1593606384880	OK	 
USER	Add a new pet to the store	22	END	1593606383869	1593606384881
REQUEST	23		Add a new pet to the storehttps://petstore.swagger.io	1593606384374	1593606385220	OK	 
USER	Add a new pet to the store	25	START	1593606385366	1593606385366
REQUEST	23		Verify pet to the store as per statushttps://petstore.swagger.io	1593606385223	1593606385427	OK	 
USER	Add a new pet to the store	23	END	1593606384368	1593606385429
REQUEST	24		Add a new pet to the storehttps://petstore.swagger.io	1593606384871	1593606385676	OK	 
USER	Add a new pet to the store	26	START	1593606385856	1593606385856
REQUEST	24		Verify pet to the store as per statushttps://petstore.swagger.io	1593606385680	1593606385875	OK	 
USER	Add a new pet to the store	24	END	1593606384870	1593606385880
REQUEST	25		Add a new pet to the storehttps://petstore.swagger.io	1593606385368	1593606386173	OK	 
USER	Add a new pet to the store	27	START	1593606386365	1593606386365
REQUEST	25		Verify pet to the store as per statushttps://petstore.swagger.io	1593606386175	1593606386374	OK	 
USER	Add a new pet to the store	25	END	1593606385366	1593606386376
REQUEST	26		Add a new pet to the storehttps://petstore.swagger.io	1593606385859	1593606386665	OK	 
USER	Add a new pet to the store	28	START	1593606386867	1593606386867
REQUEST	26		Verify pet to the store as per statushttps://petstore.swagger.io	1593606386669	1593606386869	OK	 
USER	Add a new pet to the store	26	END	1593606385856	1593606386874
REQUEST	27		Add a new pet to the storehttps://petstore.swagger.io	1593606386366	1593606387189	OK	 
USER	Add a new pet to the store	29	START	1593606387366	1593606387366
REQUEST	27		Verify pet to the store as per statushttps://petstore.swagger.io	1593606387191	1593606387395	OK	 
USER	Add a new pet to the store	27	END	1593606386365	1593606387399
REQUEST	28		Add a new pet to the storehttps://petstore.swagger.io	1593606386873	1593606387648	OK	 
REQUEST	28		Verify pet to the store as per statushttps://petstore.swagger.io	1593606387651	1593606387848	OK	 
USER	Add a new pet to the store	28	END	1593606386867	1593606387852
USER	Add a new pet to the store	30	START	1593606387869	1593606387869
REQUEST	29		Add a new pet to the storehttps://petstore.swagger.io	1593606387370	1593606388185	OK	 
USER	Add a new pet to the store	31	START	1593606388365	1593606388365
REQUEST	29		Verify pet to the store as per statushttps://petstore.swagger.io	1593606388191	1593606388395	OK	 
USER	Add a new pet to the store	29	END	1593606387366	1593606388398
REQUEST	30		Add a new pet to the storehttps://petstore.swagger.io	1593606387872	1593606388669	OK	 
USER	Add a new pet to the store	32	START	1593606388858	1593606388858
REQUEST	30		Verify pet to the store as per statushttps://petstore.swagger.io	1593606388671	1593606388874	OK	 
USER	Add a new pet to the store	30	END	1593606387869	1593606388877
REQUEST	31		Add a new pet to the storehttps://petstore.swagger.io	1593606388368	1593606389192	OK	 
USER	Add a new pet to the store	33	START	1593606389381	1593606389381
REQUEST	31		Verify pet to the store as per statushttps://petstore.swagger.io	1593606389202	1593606389400	OK	 
USER	Add a new pet to the store	31	END	1593606388365	1593606389401
USER	Add a new pet to the store	34	START	1593606389941	1593606389941
REQUEST	32		Add a new pet to the storehttps://petstore.swagger.io	1593606388861	1593606389971	OK	 
REQUEST	32		Verify pet to the store as per statushttps://petstore.swagger.io	1593606389982	1593606390181	OK	 
USER	Add a new pet to the store	32	END	1593606388858	1593606390184
REQUEST	33		Add a new pet to the storehttps://petstore.swagger.io	1593606389383	1593606390202	OK	 
USER	Add a new pet to the store	35	START	1593606390359	1593606390359
REQUEST	33		Verify pet to the store as per statushttps://petstore.swagger.io	1593606390207	1593606390416	OK	 
USER	Add a new pet to the store	33	END	1593606389381	1593606390418
REQUEST	34		Add a new pet to the storehttps://petstore.swagger.io	1593606389943	1593606390788	OK	 
USER	Add a new pet to the store	36	START	1593606390868	1593606390868
REQUEST	34		Verify pet to the store as per statushttps://petstore.swagger.io	1593606390790	1593606390989	OK	 
USER	Add a new pet to the store	34	END	1593606389941	1593606390990
REQUEST	35		Add a new pet to the storehttps://petstore.swagger.io	1593606390361	1593606391166	OK	 
USER	Add a new pet to the store	37	START	1593606391366	1593606391366
REQUEST	35		Verify pet to the store as per statushttps://petstore.swagger.io	1593606391171	1593606391373	OK	 
USER	Add a new pet to the store	35	END	1593606390359	1593606391375
REQUEST	36		Add a new pet to the storehttps://petstore.swagger.io	1593606390869	1593606391668	OK	 
USER	Add a new pet to the store	38	START	1593606391865	1593606391865
