RUN	petApp.Journey	journey	1593606371309	 	3.3.1
REQUEST	88		Add a new pet to the storehttps://petstore.swagger.io	1593606416869	1593606417682	OK	 
USER	Add a new pet to the store	90	START	1593606417866	1593606417866
REQUEST	88		Verify pet to the store as per statushttps://petstore.swagger.io	1593606417684	1593606417916	OK	 
USER	Add a new pet to the store	88	END	1593606416868	1593606417918
REQUEST	89		Add a new pet to the storehttps://petstore.swagger.io	1593606417366	1593606418170	OK	 
USER	Add a new pet to the store	91	START	1593606418370	1593606418370
REQUEST	89		Verify pet to the store as per statushttps://petstore.swagger.io	1593606418171	1593606418376	OK	 
USER	Add a new pet to the store	89	END	1593606417364	1593606418378
REQUEST	90		Add a new pet to the storehttps://petstore.swagger.io	1593606417868	1593606418660	OK	 
REQUEST	90		Verify pet to the store as per statushttps://petstore.swagger.io	1593606418663	1593606418864	OK	 
USER	Add a new pet to the store	90	END	1593606417866	1593606418867
USER	Add a new pet to the store	92	START	1593606418869	1593606418869
REQUEST	91		Add a new pet to the storehttps://petstore.swagger.io	1593606418371	1593606419166	OK	 
REQUEST	91		Verify pet to the store as per statushttps://petstore.swagger.io	1593606419168	1593606419365	OK	 
USER	Add a new pet to the store	93	START	1593606419367	1593606419367
USER	Add a new pet to the store	91	END	1593606418370	1593606419368
REQUEST	92		Add a new pet to the storehttps://petstore.swagger.io	1593606418870	1593606419683	OK	 
USER	Add a new pet to the store	94	START	1593606419865	1593606419865
REQUEST	92		Verify pet to the store as per statushttps://petstore.swagger.io	1593606419686	1593606419888	OK	 
USER	Add a new pet to the store	92	END	1593606418869	1593606419891
REQUEST	93		Add a new pet to the storehttps://petstore.swagger.io	1593606419370	1593606420169	OK	 
REQUEST	93		Verify pet to the store as per statushttps://petstore.swagger.io	1593606420172	1593606420368	OK	 
USER	Add a new pet to the store	95	START	1593606420370	1593606420370
USER	Add a new pet to the store	93	END	1593606419367	1593606420371
REQUEST	94		Add a new pet to the storehttps://petstore.swagger.io	1593606419867	1593606420680	OK	 
USER	Add a new pet to the store	96	START	1593606420867	1593606420867
REQUEST	94		Verify pet to the store as per statushttps://petstore.swagger.io	1593606420682	1593606420880	OK	 
USER	Add a new pet to the store	94	END	1593606419865	1593606420883
REQUEST	95		Add a new pet to the storehttps://petstore.swagger.io	1593606420373	1593606421185	OK	 
USER	Add a new pet to the store	97	START	1593606421364	1593606421364
REQUEST	95		Verify pet to the store as per statushttps://petstore.swagger.io	1593606421188	1593606421390	OK	 
USER	Add a new pet to the store	95	END	1593606420370	1593606421393
REQUEST	96		Add a new pet to the storehttps://petstore.swagger.io	1593606420869	1593606421661	OK	 
REQUEST	96		Verify pet to the store as per statushttps://petstore.swagger.io	1593606421665	1593606421862	OK	 
USER	Add a new pet to the store	96	END	1593606420867	1593606421865
USER	Add a new pet to the store	98	START	1593606421865	1593606421865
REQUEST	97		Add a new pet to the storehttps://petstore.swagger.io	1593606421366	1593606422150	OK	 
REQUEST	97		Verify pet to the store as per statushttps://petstore.swagger.io	1593606422153	1593606422350	OK	 
USER	Add a new pet to the store	97	END	1593606421364	1593606422352
USER	Add a new pet to the store	99	START	1593606422369	1593606422369
REQUEST	98		Add a new pet to the storehttps://petstore.swagger.io	1593606421867	1593606422656	OK	 
REQUEST	98		Verify pet to the store as per statushttps://petstore.swagger.io	1593606422658	1593606422855	OK	 
USER	Add a new pet to the store	98	END	1593606421865	1593606422858
USER	Add a new pet to the store	100	START	1593606422864	1593606422864
REQUEST	99		Add a new pet to the storehttps://petstore.swagger.io	1593606422371	1593606423164	OK	 
USER	Add a new pet to the store	101	START	1593606423364	1593606423364
REQUEST	99		Verify pet to the store as per statushttps://petstore.swagger.io	1593606423167	1593606423365	OK	 
USER	Add a new pet to the store	99	END	1593606422369	1593606423369
REQUEST	100		Add a new pet to the storehttps://petstore.swagger.io	1593606422866	1593606423662	OK	 
REQUEST	100		Verify pet to the store as per statushttps://petstore.swagger.io	1593606423664	1593606423861	OK	 
USER	Add a new pet to the store	100	END	1593606422864	1593606423863
USER	Add a new pet to the store	102	START	1593606423866	1593606423866
REQUEST	101		Add a new pet to the storehttps://petstore.swagger.io	1593606423367	1593606424182	OK	 
USER	Add a new pet to the store	103	START	1593606424369	1593606424369
REQUEST	101		Verify pet to the store as per statushttps://petstore.swagger.io	1593606424185	1593606424386	OK	 
USER	Add a new pet to the store	101	END	1593606423364	1593606424389
REQUEST	102		Add a new pet to the storehttps://petstore.swagger.io	1593606423867	1593606424656	OK	 
REQUEST	102		Verify pet to the store as per statushttps://petstore.swagger.io	1593606424658	1593606424855	OK	 
USER	Add a new pet to the store	102	END	1593606423866	1593606424858
USER	Add a new pet to the store	104	START	1593606424868	1593606424868
REQUEST	103		Add a new pet to the storehttps://petstore.swagger.io	1593606424371	1593606425165	OK	 
USER	Add a new pet to the store	105	START	1593606425366	1593606425366
REQUEST	103		Verify pet to the store as per statushttps://petstore.swagger.io	1593606425168	1593606425365	OK	 
USER	Add a new pet to the store	103	END	1593606424369	1593606425369
REQUEST	104		Add a new pet to the storehttps://petstore.swagger.io	1593606424870	1593606425684	OK	 
USER	Add a new pet to the store	106	START	1593606425864	1593606425864
REQUEST	104		Verify pet to the store as per statushttps://petstore.swagger.io	1593606425686	1593606425889	OK	 
USER	Add a new pet to the store	104	END	1593606424868	1593606425892
REQUEST	105		Add a new pet to the storehttps://petstore.swagger.io	1593606425368	1593606426179	OK	 
USER	Add a new pet to the store	107	START	1593606426367	1593606426367
REQUEST	105		Verify pet to the store as per statushttps://petstore.swagger.io	1593606426181	1593606426383	OK	 
USER	Add a new pet to the store	105	END	1593606425366	1593606426386
REQUEST	106		Add a new pet to the storehttps://petstore.swagger.io	1593606425866	1593606426681	OK	 
USER	Add a new pet to the store	108	START	1593606426855	1593606426855
REQUEST	106		Verify pet to the store as per statushttps://petstore.swagger.io	1593606426683	1593606426884	OK	 
USER	Add a new pet to the store	106	END	1593606425864	1593606426886
REQUEST	107		Add a new pet to the storehttps://petstore.swagger.io	1593606426369	1593606427177	OK	 
USER	Add a new pet to the store	109	START	1593606427358	1593606427358
REQUEST	107		Verify pet to the store as per statushttps://petstore.swagger.io	1593606427180	1593606427382	OK	 
USER	Add a new pet to the store	107	END	1593606426367	1593606427384
REQUEST	108		Add a new pet to the storehttps://petstore.swagger.io	1593606426857	1593606427681	OK	 
USER	Add a new pet to the store	110	START	1593606427867	1593606427867
REQUEST	108		Verify pet to the store as per statushttps://petstore.swagger.io	1593606427682	1593606427886	OK	 
USER	Add a new pet to the store	108	END	1593606426855	1593606427888
REQUEST	109		Add a new pet to the storehttps://petstore.swagger.io	1593606427359	1593606428136	OK	 
REQUEST	109		Verify pet to the store as per statushttps://petstore.swagger.io	1593606428139	1593606428335	OK	 
USER	Add a new pet to the store	109	END	1593606427358	1593606428338
USER	Add a new pet to the store	111	START	1593606428365	1593606428365
REQUEST	110		Add a new pet to the storehttps://petstore.swagger.io	1593606427869	1593606428649	OK	 
REQUEST	110		Verify pet to the store as per statushttps://petstore.swagger.io	1593606428652	1593606428845	OK	 
USER	Add a new pet to the store	110	END	1593606427867	1593606428848
USER	Add a new pet to the store	112	START	1593606428868	1593606428868
REQUEST	111		Add a new pet to the storehttps://petstore.swagger.io	1593606428367	1593606429167	OK	 
USER	Add a new pet to the store	113	START	1593606429366	1593606429366
REQUEST	111		Verify pet to the store as per statushttps://petstore.swagger.io	1593606429170	1593606429367	OK	 
USER	Add a new pet to the store	111	END	1593606428365	1593606429371
REQUEST	112		Add a new pet to the storehttps://petstore.swagger.io	1593606428870	1593606429696	OK	 
USER	Add a new pet to the store	114	START	1593606429865	1593606429865
REQUEST	112		Verify pet to the store as per statushttps://petstore.swagger.io	1593606429698	1593606429905	OK	 
USER	Add a new pet to the store	112	END	1593606428868	1593606429908
REQUEST	113		Add a new pet to the storehttps://petstore.swagger.io	1593606429368	1593606430163	OK	 
REQUEST	113		Verify pet to the store as per statushttps://petstore.swagger.io	1593606430165	1593606430361	OK	 
USER	Add a new pet to the store	113	END	1593606429366	1593606430364
USER	Add a new pet to the store	115	START	1593606430364	1593606430364
REQUEST	114		Add a new pet to the storehttps://petstore.swagger.io	1593606429867	1593606430667	OK	 
REQUEST	114		Verify pet to the store as per statushttps://petstore.swagger.io	1593606430669	1593606430867	OK	 
USER	Add a new pet to the store	116	START	1593606430868	1593606430868
USER	Add a new pet to the store	114	END	1593606429865	1593606430869
REQUEST	115		Add a new pet to the storehttps://petstore.swagger.io	1593606430366	1593606431139	OK	 
REQUEST	115		Verify pet to the store as per statushttps://petstore.swagger.io	1593606431142	1593606431335	OK	 
USER	Add a new pet to the store	115	END	1593606430364	1593606431339
USER	Add a new pet to the store	117	START	1593606431368	1593606431368
REQUEST	116		Add a new pet to the storehttps://petstore.swagger.io	1593606430869	1593606431652	OK	 
REQUEST	116		Verify pet to the store as per statushttps://petstore.swagger.io	1593606431654	1593606431848	OK	 
USER	Add a new pet to the store	116	END	1593606430868	1593606431849
USER	Add a new pet to the store	118	START	1593606431855	1593606431855
REQUEST	117		Add a new pet to the storehttps://petstore.swagger.io	1593606431370	1593606432158	OK	 
REQUEST	117		Verify pet to the store as per statushttps://petstore.swagger.io	1593606432159	1593606432355	OK	 
USER	Add a new pet to the store	117	END	1593606431368	1593606432357
USER	Add a new pet to the store	119	START	1593606432358	1593606432358
REQUEST	118		Add a new pet to the storehttps://petstore.swagger.io	1593606431856	1593606432659	OK	 
REQUEST	118		Verify pet to the store as per statushttps://petstore.swagger.io	1593606432661	1593606432855	OK	 
USER	Add a new pet to the store	118	END	1593606431855	1593606432856
USER	Add a new pet to the store	120	START	1593606432865	1593606432865
REQUEST	119		Add a new pet to the storehttps://petstore.swagger.io	1593606432359	1593606433273	OK	 
REQUEST	119		Verify pet to the store as per statushttps://petstore.swagger.io	1593606433277	1593606433479	OK	 
USER	Add a new pet to the store	119	END	1593606432358	1593606433481
REQUEST	120		Add a new pet to the storehttps://petstore.swagger.io	1593606432866	1593606433642	OK	 
REQUEST	120		Verify pet to the store as per statushttps://petstore.swagger.io	1593606433643	1593606433835	OK	 
USER	Add a new pet to the store	120	END	1593606432865	1593606433838
